episode_id,case_id,case_type,customer_tier,urgency,category,decision_agent,expected_decision,outcome,error_type,decision_time_s,memories_retrieved_n,config
EP_MEM_032,C032,ambiguo,gold,medium,Soporte,A2,A2,correcto,N/A,13.7427,2,with_memory
EP_MEM_033,C033,ambiguo,regular,medium,Información,A2,A3,incorrecto,ERROR_DECISION_INCORRECTA,7.6965,2,with_memory
EP_MEM_034,C034,ambiguo,gold,medium,Técnico,A2,A2,correcto,N/A,10.8669,2,with_memory
EP_MEM_035,C035,ambiguo,regular,medium,Facturación,A1,A2,incorrecto,ERROR_DECISION_INCORRECTA,14.6698,2,with_memory
EP_MEM_036,C036,ambiguo,gold,low,Soporte,A3,A3,correcto,N/A,8.5285,2,with_memory
EP_MEM_037,C037,ambiguo,regular,medium,Facturación,A1,A2,incorrecto,ERROR_DECISION_INCORRECTA,39.2809,2,with_memory
EP_MEM_038,C038,ambiguo,gold,medium,Técnico,A2,A2,correcto,N/A,10.9658,2,with_memory
EP_MEM_039,C039,ambiguo,regular,medium,Facturación,A1,A1,correcto,N/A,9.3144,2,with_memory
EP_MEM_040,C040,repetido_A,VIP,medium,Soporte,A3,A2,incorrecto,ERROR_VIP_DESATENDIDO,33.3745,2,with_memory
EP_MEM_041,C041,repetido_B,regular,medium,Facturación,A1,A1,correcto,N/A,10.3544,2,with_memory
EP_MEM_042,C042,repetido_C,regular,high,Técnico,A2,A2,correcto,N/A,10.8133,2,with_memory
EP_MEM_043,C043,repetido_D,gold,high,Seguridad,A2,A2,correcto,N/A,8.5055,2,with_memory
EP_MEM_044,C044,repetido_E,regular,low,Facturación,A4,A4,correcto,N/A,12.7103,2,with_memory
EP_MEM_045,C045,control_aislado,gold,low,Soporte,A3,A3,correcto,N/A,9.4858,2,with_memory
EP_MEM_046,C046,control_aislado,regular,low,Información,A3,A3,correcto,N/A,9.5759,2,with_memory
EP_MEM_047,C047,control_aislado,gold,medium,Técnico,A2,A2,correcto,N/A,16.4503,2,with_memory
EP_MEM_048,C048,control_aislado,regular,low,Información,A3,A3,correcto,N/A,12.5934,2,with_memory
EP_MEM_049,C049,control_aislado,gold,medium,Técnico,A2,A2,correcto,N/A,8.5172,2,with_memory
EP_MEM_050,C050,control_aislado,regular,low,Información,A3,A3,correcto,N/A,8.9997,2,with_memory
EP_CTRL_001,C001,base,regular,low,Información,A3,A3,correcto,N/A,1.2674,0,without_memory
EP_CTRL_002,C002,base,regular,low,Información,A3,A3,correcto,N/A,4.5364,0,without_memory
EP_CTRL_003,C003,base,regular,low,Información,A3,A3,correcto,N/A,1.2469,0,without_memory
EP_CTRL_004,C004,base,regular,high,Facturación,A1,A1,correcto,N/A,2.1169,0,without_memory
EP_CTRL_005,C005,base,gold,high,Facturación,A1,A1,correcto,N/A,3.7816,0,without_memory
EP_CTRL_006,C006,base,regular,high,Técnico,A2,A2,correcto,N/A,2.2392,0,without_memory
EP_CTRL_007,C007,base,gold,high,Técnico,A2,A2,correcto,N/A,1.6301,0,without_memory
EP_CTRL_008,C008,base,gold,high,Seguridad,A2,A2,correcto,N/A,2.839,0,without_memory
EP_CTRL_009,C009,base,regular,low,Facturación,A3,A4,incorrecto,ERROR_DECISION_INCORRECTA,1.5168,0,without_memory
EP_CTRL_010,C010,repetido_A,VIP,medium,Soporte,A3,A2,incorrecto,ERROR_VIP_DESATENDIDO,2.7297,0,without_memory
EP_CTRL_011,C011,repetido_B,regular,medium,Facturación,A1,A1,correcto,N/A,1.4218,0,without_memory
EP_CTRL_012,C012,repetido_C,regular,high,Técnico,A2,A2,correcto,N/A,1.3537,0,without_memory
EP_CTRL_013,C013,repetido_D,gold,high,Seguridad,A2,A2,correcto,N/A,1.4243,0,without_memory
EP_CTRL_014,C014,repetido_E,regular,low,Facturación,A3,A4,incorrecto,ERROR_DECISION_INCORRECTA,1.1743,0,without_memory
EP_CTRL_015,C015,base,regular,low,Soporte,A3,A3,correcto,N/A,1.059,0,without_memory
EP_CTRL_016,C016,base,gold,low,Información,A3,A3,correcto,N/A,7.9023,0,without_memory
EP_CTRL_017,C017,VIP,VIP,low,Información,A3,A2,incorrecto,ERROR_VIP_DESATENDIDO,1.3505,0,without_memory
EP_CTRL_018,C018,VIP,VIP,medium,Facturación,A3,A2,incorrecto,ERROR_VIP_DESATENDIDO,1.6486,0,without_memory
EP_CTRL_019,C019,VIP,VIP,low,Soporte,A3,A2,incorrecto,ERROR_VIP_DESATENDIDO,1.5359,0,without_memory
EP_CTRL_020,C020,VIP,VIP,medium,Técnico,A2,A2,correcto,N/A,2.0152,0,without_memory
EP_CTRL_021,C021,VIP,VIP,high,Facturación,A1,A1,correcto,N/A,1.1345,0,without_memory
EP_CTRL_022,C022,VIP,VIP,low,Información,A3,A2,incorrecto,ERROR_VIP_DESATENDIDO,1.1409,0,without_memory
EP_CTRL_023,C023,VIP,VIP,medium,Técnico,A2,A2,correcto,N/A,4.7877,0,without_memory
EP_CTRL_024,C024,VIP,VIP,low,Información,A3,A2,incorrecto,ERROR_VIP_DESATENDIDO,0.997,0,without_memory
EP_CTRL_025,C025,repetido_A,VIP,medium,Soporte,A3,A2,incorrecto,ERROR_VIP_DESATENDIDO,1.4152,0,without_memory
EP_CTRL_026,C026,repetido_B,regular,medium,Facturación,A1,A1,correcto,N/A,1.5528,0,without_memory
EP_CTRL_027,C027,repetido_C,regular,high,Técnico,A2,A2,correcto,N/A,1.103,0,without_memory
EP_CTRL_028,C028,repetido_D,gold,high,Seguridad,A2,A2,correcto,N/A,1.2688,0,without_memory
EP_CTRL_029,C029,repetido_E,regular,low,Facturación,A1,A4,incorrecto,ERROR_DECISION_INCORRECTA,1.5669,0,without_memory
EP_CTRL_030,C030,ambiguo,gold,medium,Técnico,A2,A2,correcto,N/A,1.1636,0,without_memory
EP_CTRL_031,C031,ambiguo,regular,medium,Facturación,A2,A2,correcto,N/A,9.2202,0,without_memory
EP_CTRL_032,C032,ambiguo,gold,medium,Soporte,A3,A2,incorrecto,ERROR_DECISION_INCORRECTA,1.1989,0,without_memory
EP_CTRL_033,C033,ambiguo,regular,medium,Información,A3,A3,correcto,N/A,17.7921,0,without_memory
EP_CTRL_034,C034,ambiguo,gold,medium,Técnico,A2,A2,correcto,N/A,1.5999,0,without_memory
EP_CTRL_035,C035,ambiguo,regular,medium,Facturación,A3,A2,incorrecto,ERROR_DECISION_INCORRECTA,2.1089,0,without_memory
EP_CTRL_036,C036,ambiguo,gold,low,Soporte,A3,A3,correcto,N/A,1.3819,0,without_memory
EP_CTRL_037,C037,ambiguo,regular,medium,Facturación,A2,A2,correcto,N/A,2.4236,0,without_memory
EP_CTRL_038,C038,ambiguo,gold,medium,Técnico,A3,A2,incorrecto,ERROR_DECISION_INCORRECTA,1.7169,0,without_memory
EP_CTRL_039,C039,ambiguo,regular,medium,Facturación,A1,A1,correcto,N/A,1.1745,0,without_memory
EP_CTRL_040,C040,repetido_A,VIP,medium,Soporte,A3,A2,incorrecto,ERROR_VIP_DESATENDIDO,6.5368,0,without_memory
EP_CTRL_041,C041,repetido_B,regular,medium,Facturación,A1,A1,correcto,N/A,10.1088,0,without_memory
EP_CTRL_042,C042,repetido_C,regular,high,Técnico,A2,A2,correcto,N/A,1.8279,0,without_memory
EP_CTRL_043,C043,repetido_D,gold,high,Seguridad,A2,A2,correcto,N/A,40.4601,0,without_memory
EP_CTRL_044,C044,repetido_E,regular,low,Facturación,A1,A4,incorrecto,ERROR_DECISION_INCORRECTA,2.3384,0,without_memory
EP_CTRL_045,C045,control_aislado,gold,low,Soporte,A3,A3,correcto,N/A,4.044,0,without_memory
EP_CTRL_046,C046,control_aislado,regular,low,Información,A3,A3,correcto,N/A,32.0064,0,without_memory
EP_CTRL_047,C047,control_aislado,gold,medium,Técnico,A3,A2,incorrecto,ERROR_DECISION_INCORRECTA,2.4672,0,without_memory
EP_CTRL_048,C048,control_aislado,regular,low,Información,A3,A3,correcto,N/A,2.5307,0,without_memory
EP_CTRL_049,C049,control_aislado,gold,medium,Técnico,A2,A2,correcto,N/A,32.5225,0,without_memory
EP_CTRL_050,C050,control_aislado,regular,low,Información,A3,A3,correcto,N/A,32.4199,0,without_memory
